,Ticker,Name,Exchange,Category Name,Country
20888,A,"Agilent Technologies, Inc.",NYQ,Medical Laboratories & Research,USA
21231,AA,Alcoa Corporation,NYQ,Aluminum,USA
21264,AAAP,Advanced Accelerator Applications S.A.,NMS,,USA
21271,AABB,"Asia Broadband, Inc.",PNK,,USA
21275,AAC,"AAC Holdings, Inc.",NYQ,Specialized Health Services,USA
21303,AAEED,AAEED,PNK,,USA
21305,AAEH,"All American Energy Holdings, Inc.",PNK,,USA
21334,AAIND,ASIABASEMETALS INC COM NPV (POS,PNK,,USA
21344,AAL,American Airlines Group Inc.,NMS,Major Airlines,USA
21358,AAMC,Altisource Asset Management Corporation,ASE,Asset Management,USA
21359,AAMC.A,AAMC.A,ASE,,USA
21360,AAME,Atlantic American Corporation,NGM,Life Insurance,USA
21362,AAN,"Aaron's, Inc.",NYQ,Rental & Leasing Services,USA
21371,AAOI,"Applied Optoelectronics, Inc.",NGM,Semiconductor - Integrated Circuits,USA
21372,AAON,"AAON, Inc.",NMS,General Building Materials,USA
21373,AAP,"Advance Auto Parts, Inc.",NYQ,Auto Parts Stores,USA
21374,AA-P,Arconic Inc.,ASE,,USA
21375,AA-P.A,AA-P.A,ASE,,USA
21383,AA-PB,Arconic Inc.,NYQ,,USA
21386,AAPC,Atlantic Alliance Partnership Corp.,NCM,Conglomerates,USA
21388,AAPL,Apple Inc.,NMS,Electronic Equipment,USA
21420,AASL,America's Suppliers Inc.,PNK,,USA
21421,AASP,"All-American Sportpark, Inc.",PNK,Sporting Activities,USA
21422,AAST,Allied American Steel Corp.,PNK,Steel & Iron,USA
21424,AAT,"American Assets Trust, Inc.",NYQ,REIT - Retail,USA
21430,AATRL,Amg Capital Trust II,PNK,,USA
21431,AATV,"Adaptive Ad Systems, Inc.",PNK,,USA
21432,AAU,Almaden Minerals Ltd.,ASE,Gold,USA
21433,AAU.A,AAU.A,ASE,,USA
21444,AAV,Advantage Oil & Gas Ltd.,NYQ,Oil & Gas Drilling & Exploration,USA
21449,AAVL,"Avalanche Biotechnologies, Inc.",NGM,,USA
21451,AAWC,Alexandria Advantage Warranty Company,PNK,,USA
21452,AAWW,"Atlas Air Worldwide Holdings, Inc.",NMS,"Air Services, Other",USA
21456,AAXT,"Aamaxan Transport Group, Inc.",PNK,,USA
21469,AB,AllianceBernstein Holding L.P.,NYQ,Asset Management,USA
21507,ABAC,"Aoxin Tianli Group, Inc.",NCM,,USA
21514,ABAT,"Advanced Battery Technologies, Inc.",PNK,,USA
21515,ABAX,"Abaxis, Inc.",NMS,Medical Laboratories & Research,USA
21516,ABB,ABB Ltd,NYQ,Diversified Machinery,USA
21526,ABBB,"Auburn Bancorp, Inc.",PNK,Savings & Loans,USA
21536,ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA
21543,ABC,AmerisourceBergen Corporation,NYQ,Drugs Wholesale,USA
21550,ABCB,Ameris Bancorp,NMS,Regional - Mid-Atlantic Banks,USA
21560,ABCD,"Cambium Learning Group, Inc.",NCM,Education & Training Services,USA
21561,ABCE,"ABCO Energy, Inc.",PNK,Semiconductor - Specialized,USA
21568,ABCO,The Advisory Board Company,NMS,Business Services,USA
21569,ABCP,AmBase Corporation,PNK,Property Management,USA
21573,ABCW,Anchor BanCorp Wisconsin Inc.,NMS,,USA
21578,ABDC,Alcentra Capital Corporation,NMS,,USA
21582,ABDR,Ambassador Food Services Corp.,PNK,,USA
