Date,A,AA,AABB,AAC,AAL,AAMC
11/11/2022,147.27,47.1,0.04,9.99,14.88,10.89
11/14/2022,145.35,47.65,0.04,9.98,14.68,11.18
11/15/2022,146.96,48.63,0.04,10.0,14.61,11.47
11/16/2022,146.09,48.1,0.03,9.99,14.09,11.18
11/17/2022,143.43,46.81,0.03,9.99,13.95,10.76
11/18/2022,145.16,46.75,0.03,10.0,14.05,11.39
11/21/2022,144.12,46.08,0.03,10.0,13.85,11.03
11/22/2022,155.76,48.78,0.03,10.01,13.98,11.32
11/23/2022,154.26,47.94,0.03,10.0,14.42,11.88
11/25/2022,155.86,47.33,0.03,10.01,14.5,11.88
11/28/2022,151.23,45.88,0.03,10.0,13.83,12.35
11/29/2022,149.88,47.14,0.04,10.01,14.14,11.87
11/30/2022,153.89,49.54,0.04,10.02,14.43,11.41
12/01/2022,155.02,48.52,0.05,10.03,13.98,11.18
12/02/2022,154.58,49.8,0.04,10.04,13.97,11.18
12/05/2022,151.63,45.97,0.04,10.03,14.11,12.88
12/06/2022,150.29,47.74,0.04,10.07,14.33,13.47
12/07/2022,152.65,46.05,0.04,10.07,13.55,13.65
12/08/2022,155.18,46.72,0.04,10.06,13.6,13.24
12/09/2022,151.88,44.55,0.04,10.07,13.53,13.24
12/12/2022,154.24,45.27,0.04,10.06,14.2,13.24
12/13/2022,156.55,45.63,0.04,10.06,13.46,13.13
12/14/2022,153.72,44.96,0.04,10.06,13.35,12.35
12/15/2022,149.8,42.76,0.04,10.07,12.93,12.45
12/16/2022,148.25,42.22,0.04,10.07,12.81,11.21
12/19/2022,145.92,41.82,0.03,10.09,12.48,11.59
12/20/2022,146.89,43.57,0.03,10.08,12.53,11.59
12/21/2022,149.04,44.34,0.03,10.09,13.03,11.57
12/22/2022,147.96,43.33,0.03,10.08,12.56,11.53
12/23/2022,148.18,43.68,0.03,10.07,12.71,11.53
12/27/2022,148.5,44.33,0.03,10.09,12.53,11.74
12/28/2022,147.05,43.28,0.03,10.08,12.32,11.74
12/29/2022,150.03,46.01,0.03,10.09,12.7,11.95
12/30/2022,148.82,44.93,0.03,10.07,12.72,11.91
01/03/2023,149.21,44.06,0.03,10.11,12.74,11.76
01/04/2023,150.83,44.6,0.03,10.1,13.59,12.03
01/05/2023,151.27,44.95,0.03,10.11,13.99,13.65
01/06/2023,146.85,45.81,0.03,10.11,14.18,15.02
01/09/2023,146.65,49.68,0.03,10.13,14.61,15.05
01/10/2023,154.37,52.36,0.03,10.12,15.19,14.71
01/11/2023,157.29,51.34,0.03,10.13,15.34,14.47
01/12/2023,155.62,52.69,0.03,10.13,16.83,15.09
01/13/2023,156.05,53.97,0.03,10.14,17.02,16.47
01/17/2023,154.54,54.21,0.04,10.12,17.08,17.56
01/18/2023,153.22,52.82,0.04,10.12,16.64,17.57
01/19/2023,152.02,48.94,0.03,10.13,16.28,17.64
01/20/2023,155.06,50.4,0.03,10.13,16.34,17.21
01/23/2023,158.18,51.14,0.03,10.12,16.17,17.65
01/24/2023,154.83,52.25,0.03,10.12,16.02,18.24
01/25/2023,154.9,51.58,0.03,10.13,16.26,18.59
01/26/2023,155.37,51.5,0.03,10.17,16.61,19.12
01/27/2023,154.83,52.13,0.03,10.16,16.43,20.76
01/30/2023,150.9,49.75,0.03,10.16,15.96,20.52
01/31/2023,151.24,51.62,0.03,10.16,16.14,22.4
02/01/2023,154.59,53.94,0.03,10.17,16.69,22.69
02/02/2023,154.64,53.03,0.03,10.17,17.06,21.88
02/03/2023,153.69,52.12,0.03,10.19,17.02,21.99
02/06/2023,151.4,51.41,0.03,10.19,16.92,19.96
02/07/2023,153.65,52.61,0.03,10.2,16.96,22.35
02/08/2023,153.57,50.02,0.03,10.2,16.97,20.88
02/09/2023,151.54,49.42,0.03,10.18,16.66,21.4
02/10/2023,151.71,48.12,0.03,10.21,16.28,22.82
02/13/2023,153.74,47.39,0.03,10.2,16.51,23.5
02/14/2023,152.19,48.35,0.03,10.22,16.79,23.09
02/15/2023,150.91,47.84,0.03,10.2,16.8,24.25
02/16/2023,147.46,48.2,0.03,10.22,16.39,23.85
02/17/2023,147.44,46.34,0.03,10.21,16.36,23.89
02/21/2023,142.63,47.5,0.03,10.23,15.69,23.69
02/22/2023,141.29,48.4,0.03,10.22,15.56,23.09
02/23/2023,142.41,47.4,0.03,10.23,15.87,24.37
02/24/2023,140.42,45.9,0.03,10.22,15.56,24.35
02/27/2023,141.39,47.47,0.03,10.23,15.63,30.59
02/28/2023,141.18,48.36,0.03,10.23,15.98,30.59
03/01/2023,136.75,51.04,0.03,10.25,16.03,31.81
03/02/2023,140.89,53.06,0.03,10.24,16.12,31.59
03/03/2023,143.13,54.87,0.03,10.25,16.36,31.29
03/06/2023,142.44,53.15,0.03,10.26,16.12,33.82
03/07/2023,139.55,49.67,0.03,10.25,16.36,33.54
03/08/2023,140.12,50.51,0.03,10.26,16.59,34.12
03/09/2023,138.16,47.42,0.03,10.28,15.88,34.69
03/10/2023,134.97,44.46,0.03,10.2,15.46,35.21
03/13/2023,135.93,44.26,0.03,10.27,14.85,31.47
03/14/2023,137.63,44.14,0.03,10.27,14.66,32.35
03/15/2023,133.29,39.37,0.03,10.27,13.86,31.09
03/16/2023,136.06,40.34,0.03,10.3,14.12,30.76
03/17/2023,132.44,38.76,0.03,10.3,13.98,29.35
03/20/2023,133.8,39.88,0.03,10.31,13.96,29.48
03/21/2023,136.25,41.49,0.03,10.31,14.37,31.71
03/22/2023,132.99,39.66,0.03,10.3,13.82,32.54
03/23/2023,130.4,39.83,0.03,10.34,13.63,34.65
